date,dvix
2006/3/1,-0.8
2006/3/2,0.18
2006/3/3,0.24
2006/3/6,0.78
2006/3/7,-0.08
2006/3/8,-0.34
2006/3/9,0.36
2006/3/10,-0.83
2006/3/13,-0.48
2006/3/14,-0.63
2006/3/15,0.61
2006/3/16,0.63
2006/3/17,0.14
2006/3/20,-0.33
2006/3/21,-0.17
2006/3/22,-0.41
2006/3/23,-0.04
2006/3/24,0.02
2006/3/27,0.27
2006/3/28,0.12
2006/3/29,-0.63
2006/3/30,0.62
2006/3/31,-0.18
2006/4/3,0.18
2006/4/4,-0.43
2006/4/5,-0.01
2006/4/6,0.32
2006/4/7,0.81
2006/4/10,-0.07
2006/4/11,0.81
2006/4/12,-0.24
2006/4/13,-0.38
2006/4/17,0.2
2006/4/18,-1.18
2006/4/19,-0.08
2006/4/20,0.32
2006/4/21,-0.05
2006/4/24,0.16
2006/4/25,0
2006/4/26,0.01
2006/4/27,0.08
2006/4/28,-0.25
2006/5/1,0.95
2006/5/2,-0.55
2006/5/3,0
2006/5/4,-0.13
2006/5/5,-0.22
2006/5/8,0.38
2006/5/9,-0.01
2006/5/10,-0.21
2006/5/11,0.71
2006/5/12,1.7
2006/5/15,-0.62
2006/5/16,-0.22
2006/5/17,2.91
2006/5/18,0.73
2006/5/19,0.19
2006/5/22,0.54
2006/5/23,0.54
2006/5/24,-0.9
2006/5/25,-1.86
2006/5/26,-1.24
2006/5/30,4.4
2006/5/31,-2.22
2006/6/1,-1.92
2006/6/2,-0.2
2006/6/5,2.33
2006/6/6,0.69
2006/6/7,0.46
2006/6/8,0.55
2006/6/9,-0.23
2006/6/12,2.84
2006/6/13,2.85
2006/6/14,-2.35
2006/6/15,-5.56
2006/6/16,1.35
2006/6/19,0.58
2006/6/20,-1.14
2006/6/21,-1.17
2006/6/22,0.36
2006/6/23,0.01
2006/6/26,-0.27
2006/6/27,0.78
2006/6/28,-0.61
2006/6/29,-2.76
2006/6/30,0.05
2006/7/3,-0.03
2006/7/5,1.1
2006/7/6,-0.5
2006/7/7,0.32
2006/7/10,0.05
2006/7/11,-0.88
2006/7/12,1.35
2006/7/13,3.3
2006/7/14,0.26
2006/7/17,0.59
2006/7/18,-0.9
2006/7/19,-2.19
2006/7/20,0.66
2006/7/21,1.19
2006/7/24,-2.42
2006/7/25,-0.13
2006/7/26,-0.23
2006/7/27,0.32
2006/7/28,-0.61
2006/7/31,0.62
2006/8/1,0.1
2006/8/2,-0.71
2006/8/3,0.12
2006/8/4,-0.12
2006/8/7,0.89
2006/8/8,0
2006/8/9,-0.03
2006/8/10,-0.74
2006/8/11,-0.16
2006/8/14,-0.04
2006/8/15,-0.84
2006/8/16,-1.01
2006/8/17,-0.17
2006/8/18,-0.6
2006/8/21,0.58
2006/8/22,-0.03
2006/8/23,0.21
2006/8/24,0
2006/8/25,-0.09
2006/8/28,-0.13
2006/8/29,0.1
2006/8/30,-0.06
2006/8/31,0.09
2006/9/1,-0.35
2006/9/5,0.67
2006/9/6,1.11
2006/9/7,0.14
2006/9/8,-0.72
2006/9/11,-0.17
2006/9/12,-1.07
2006/9/13,-0.74
2006/9/14,0.37
2006/9/15,0.21
2006/9/18,0.02
2006/9/19,0.2
2006/9/20,-0.59
2006/9/21,0.86
2006/9/22,0.34
2006/9/25,-0.47
2006/9/26,-0.59
2006/9/27,0.05
2006/9/28,0.14
2006/9/29,0.26
2006/10/2,0.59
2006/10/3,-0.33
2006/10/4,-0.38
2006/10/5,0.12
2006/10/6,-0.42
2006/10/9,0.12
2006/10/10,-0.16
2006/10/11,0.1
2006/10/12,-0.53
2006/10/13,-0.34
2006/10/16,0.34
2006/10/17,0.64
2006/10/18,-0.39
2006/10/19,-0.44
2006/10/20,-0.27
2006/10/23,0.45
2006/10/24,-0.3
2006/10/25,-0.12
2006/10/26,-0.1
2006/10/27,0.24
2006/10/30,0.4
2006/10/31,-0.1
2006/11/1,0.41
2006/11/2,-0.09
2006/11/3,-0.26
2006/11/3,0
2006/11/6,0
2006/11/7,-0.07
2006/11/8,-0.34
2006/11/9,0.26
2006/11/10,-0.22
2006/11/13,0.07
2006/11/14,-0.36
2006/11/15,-0.19
2006/11/16,-0.15
2006/11/17,-0.11
2006/11/20,-0.08
2006/11/21,-0.07
2006/11/22,0.24
2006/11/24,0.59
2006/11/27,1.57
2006/11/28,-0.68
2006/11/29,-0.79
2006/11/30,0.08
2006/12/1,0.75
2006/12/4,-0.43
2006/12/5,0.04
2006/12/6,0.06
2006/12/7,1.34
2006/12/8,-0.6
2006/12/11,-1.36
2006/12/12,-0.06
2006/12/13,-0.47
2006/12/14,-0.21
2006/12/15,0.08
2006/12/18,0.55
2006/12/19,-0.3
2006/12/20,-0.04
2006/12/21,0.27
2006/12/22,0.83
2006/12/26,-0.1
2006/12/27,-0.62
2006/12/28,0.35
2006/12/29,0.57
2007/1/3,0.48
2007/1/4,-0.53
