"","date","r_f","r_mkt","r_me","r_ia","r_roe","r_eg"
"1",1967-01-03,0.0187,0.0767,0.4675,0.1528,-0.7185,-0.8892
"2",1967-01-04,0.0187,0.1548,-0.356,-0.0422,-0.2235,-0.0451
"3",1967-01-05,0.0187,1.2869,0.4346,-0.5605,0.0651,-0.3206
"4",1967-01-06,0.0187,0.7257,0.6548,0.8974,0.3557,0.237
"5",1967-01-09,0.0187,0.8521,0.6059,0.0231,0.5118,0.304
"6",1967-01-10,0.0187,0.0024,0.3049,0.3567,-0.0227,0.1353
"7",1967-01-11,0.0187,0.8284,0.1167,-0.0631,-0.0267,0.2343
"8",1967-01-12,0.0187,0.5794,0.42,-0.0968,0.0369,-0.0579
"9",1967-01-13,0.0187,0.6709,-0.0853,-0.5559,0.2356,0.1636
"10",1967-01-16,0.0187,-0.1932,0.0751,-0.5482,-0.0713,-0.4554
"11",1967-01-17,0.0187,1.1135,0.043,-0.4866,0.3057,0.0233
"12",1967-01-18,0.0187,0.5079,0.0497,0.0425,-0.3395,-0.1512
"13",1967-01-19,0.0187,0.0575,0.3718,-0.4484,-0.3093,-0.5465
"14",1967-01-20,0.0187,0.3774,0.6818,-0.1392,0.7586,0.0313
"15",1967-01-23,0.0187,0.3331,0.6506,-0.4765,0.5756,0.0671
"16",1967-01-24,0.0187,0.2026,0.0086,-0.2189,0.2724,0.2108
"17",1967-01-25,0.0187,-0.6777,0.5174,-0.4149,-0.0937,-0.2863
"18",1967-01-26,0.0187,0.0341,0.4113,-0.2738,0.5131,0.3358
"19",1967-01-27,0.0187,0.4642,0.1113,-0.2098,0.0863,-0.4078
"20",1967-01-30,0.0187,0.5449,0.2989,0.351,0.0932,-0.1815
"21",1967-01-31,0.0187,-0.0865,0.2943,0.1015,-0.295,-0.3296
"22",1967-02-01,0.0197,-0.15,-0.0548,-0.5325,-0.2251,-0.1731
"23",1967-02-02,0.0197,0.3325,0.144,0.2045,0.3989,-0.0506
"24",1967-02-03,0.0197,0.7022,0.2828,0.4871,0.3409,0.7437
"25",1967-02-06,0.0197,-0.1506,-0.1063,-0.0488,-0.288,-0.161
"26",1967-02-07,0.0197,-0.184,0.2598,0.1565,0.2208,0.2121
"27",1967-02-08,0.0197,0.8708,0.0362,-0.2553,0.018,0.0783
"28",1967-02-09,0.0197,-0.3913,-0.2568,0.1416,0.5005,0.8559
"29",1967-02-10,0.0197,0.2566,0.1209,-0.1365,0.2637,0.0756
"30",1967-02-13,0.0197,0.1319,0.5746,0.0968,-0.1606,-0.1191
"31",1967-02-14,0.0197,0.7211,0.144,-0.2526,0.3178,0.2854
"32",1967-02-15,0.0197,0.0502,-0.3364,-0.0086,0.1714,0.1356
"33",1967-02-16,0.0197,-0.4246,0.2577,0.2381,-0.6713,-0.1456
"34",1967-02-17,0.0197,0.0124,-0.1314,0.0459,0.1956,0.0126
"35",1967-02-20,0.0197,-0.4966,0.1641,0.0841,0.2575,0.4209
"36",1967-02-21,0.0197,-0.0035,0.417,-0.138,0.5564,-0.1555
"37",1967-02-23,0.0197,0.128,0.2672,0.1218,0.5984,-0.1313
"38",1967-02-24,0.0197,0.0734,0.0715,-0.2524,-0.039,-0.0427
"39",1967-02-27,0.0197,-1.1041,-0.1686,0.1616,-0.001,0.1407
"40",1967-02-28,0.0197,0.3677,0.0089,-0.3127,1.0553,0.5572
"41",1967-03-01,0.0168,0.9821,0.6381,-0.4189,0.3353,-0.1284
"42",1967-03-02,0.0168,0.5198,-0.2716,-0.1891,0.3541,-0.1492
"43",1967-03-03,0.0168,0.1579,0.0237,-0.2282,0.0152,-0.0523
"44",1967-03-06,0.0168,-0.1295,0.3401,-0.0311,0.4147,-0.0892
"45",1967-03-07,0.0168,0.1491,0.2951,-0.5439,-0.0173,-0.2617
"46",1967-03-08,0.0168,0.1637,0.1923,-0.2894,0.6754,-0.1042
"47",1967-03-09,0.0168,0.2754,0.3128,-0.148,0.3501,-0.0489
"48",1967-03-10,0.0168,0.3618,0.0651,-0.3721,-0.4913,-0.0346
"49",1967-03-13,0.0168,-0.4964,-0.014,-0.025,-0.1328,0.1
"50",1967-03-14,0.0168,-0.1039,-0.0492,-0.2375,-0.0927,-0.7025
"51",1967-03-15,0.0168,0.8653,-0.424,-0.7771,-0.3401,-0.41
"52",1967-03-16,0.0168,0.8894,-0.3394,0.0958,0.3212,-0.193
"53",1967-03-17,0.0168,0.1455,0.0405,0.4213,0.1498,0.0684
"54",1967-03-20,0.0168,-0.0261,0.1471,0.1218,0.3381,0.0805
"55",1967-03-21,0.0168,-0.2815,0.3102,-0.2598,-0.4024,0.0479
"56",1967-03-22,0.0168,0.2652,0.1994,0.3103,0.3915,-0.1639
"57",1967-03-23,0.0168,0.6749,-0.1528,0.142,-0.0916,0.287
"58",1967-03-27,0.0168,-0.0495,-7e-04,0.1183,0.3509,0.2591
"59",1967-03-28,0.0168,0.103,0.0719,-0.2801,-0.0515,0.1945
"60",1967-03-29,0.0168,-0.1215,0.3816,0.4629,-0.0326,0.0903
"61",1967-03-30,0.0168,0.0462,0.1433,0.2398,0.1596,0.088
"62",1967-03-31,0.0168,-0.4876,-0.0623,0.2584,-0.4298,-0.2819
"63",1967-04-03,0.0167,-1.1063,-0.1048,0.5602,-0.99,-0.4379
"64",1967-04-04,0.0167,0.0052,0.1761,-0.2618,-0.1723,-0.412
"65",1967-04-05,0.0167,0.6335,-0.0346,-0.0835,-0.0519,0.1905
"66",1967-04-06,0.0167,0.1955,0.2109,-0.3279,0.3032,-0.1492
"67",1967-04-07,0.0167,-0.6231,-0.1135,0.4272,-0.2971,0.0944
"68",1967-04-10,0.0167,-1.23,-0.5322,0.1408,-0.5627,0.0945
"69",1967-04-11,0.0167,0.6932,0.0998,-0.403,0.2722,0.0278
"70",1967-04-12,0.0167,-0.1087,0.1221,0.1719,0.025,0.2083
"71",1967-04-13,0.0167,0.6484,-0.1281,-0.6537,0.4322,-0.0512
"72",1967-04-14,0.0167,0.9856,-0.2619,-0.5631,0.341,-0.0044
"73",1967-04-17,0.0167,0.6268,-0.4794,-0.141,-0.1186,-0.3765
"74",1967-04-18,0.0167,0.8418,-0.0408,-0.0995,0.514,0.2721
"75",1967-04-19,0.0167,0.1205,0.1074,-0.0854,0.2516,0.1361
"76",1967-04-20,0.0167,0.2007,0.2052,-0.3523,-0.2901,-0.0137
"77",1967-04-21,0.0167,0.2564,0.3831,-0.1953,0.1227,-0.5375
"78",1967-04-24,0.0167,0.2625,-0.3335,-0.2048,0.3941,0.1523
"79",1967-04-25,0.0167,0.5428,-0.3684,-0.082,0.1111,-0.088
"80",1967-04-26,0.0167,-0.1195,0.1302,-0.0447,0.2375,-0.2741
"81",1967-04-27,0.0167,0.8025,0.0761,-0.6711,0.5683,-0.5515
"82",1967-04-28,0.0167,0.1505,0.2337,-0.0143,-0.06,-0.4391
"83",1967-05-01,0.0142,-0.0694,0.3303,-0.2134,0.2508,0.1845
"84",1967-05-02,0.0142,-0.0107,0.4604,-0.4468,-0.0205,-0.3124
"85",1967-05-03,0.0142,0.2642,0.4835,-0.0691,-0.0761,-0.3615
"86",1967-05-04,0.0142,0.3295,-0.1595,0.0883,0.1734,-0.2369
"87",1967-05-05,0.0142,0.1202,0.241,0.7268,-0.1906,0.3292
"88",1967-05-08,0.0142,0.2147,-0.1192,0.3882,-0.1539,0.0988
"89",1967-05-09,0.0142,-1.0235,-0.3061,0.4265,-0.2766,0.5046
"90",1967-05-10,0.0142,-0.1306,0.5438,0.1408,-0.0074,-0.2206
"91",1967-05-11,0.0142,0.4759,0.3885,-0.4846,0.0105,-0.7155
"92",1967-05-12,0.0142,-0.1981,0.4307,-0.3996,0.093,-0.0676
"93",1967-05-15,0.0142,-0.7217,0.2393,0.6545,0.2755,-0.0641
"94",1967-05-16,0.0142,0.4913,0.4202,0.0027,-0.0739,-0.5885
"95",1967-05-17,0.0142,-0.2614,0.4959,-0.0992,-0.5312,-0.0815
"96",1967-05-18,0.0142,-0.192,0.3956,0.3493,-0.1031,0.0241
"97",1967-05-19,0.0142,-0.3948,0.1487,0.2249,0.0898,-0.0522
"98",1967-05-22,0.0142,-0.3138,0.359,-0.0293,-0.0701,0.1208
"99",1967-05-23,0.0142,-0.417,0.0915,-0.0599,0.2221,0.1875
"100",1967-05-24,0.0142,-1.1839,-0.5184,0.3643,0.2153,0.8502
"101",1967-05-25,0.0142,0.9577,-0.1186,0.0698,0.5342,0.0185
"102",1967-05-26,0.0142,-0.1132,-0.0883,-0.0255,-0.2083,-0.0051
"103",1967-05-29,0.0142,-0.4781,0.2331,0.1546,0.1399,0.2397
"104",1967-05-31,0.0142,-1.6434,-0.9068,0.7719,0.2621,0.3808
"105",1967-06-01,0.0121,1.1801,0.0878,-0.4185,-0.1082,-0.2078
"106",1967-06-02,0.0121,-0.3772,0.3661,0.3304,0.0543,-0.1095
"107",1967-06-05,0.0121,-1.6325,-1.2228,0.5867,0.159,0.1477
"108",1967-06-06,0.0121,2.0214,0.5564,-0.5722,0.1272,-0.0016
"109",1967-06-07,0.0121,0.8291,0.4178,-0.5132,-0.1544,-0.287
"110",1967-06-08,0.0121,0.5592,0.3013,-0.5383,0.0986,-0.3899
"111",1967-06-09,0.0121,0.2628,0.4089,0.0453,0.0181,0.2918
"112",1967-06-12,0.0121,0.6451,0.4763,-0.1796,0.7722,-0.1191
"113",1967-06-13,0.0121,0.5894,0.1096,-0.2472,0.2212,-0.2982
"114",1967-06-14,0.0121,-0.1765,0.633,-0.6473,-0.0473,0.1406
"115",1967-06-15,0.0121,0.1779,0.5497,-0.271,-0.1773,0.3429
"116",1967-06-16,0.0121,0.0458,0.4934,0.0128,-0.1793,0.186
"117",1967-06-19,0.0121,0.0425,0.4706,-0.2566,0.3853,-0.237
"118",1967-06-20,0.0121,-0.0292,0.324,-0.0694,-0.016,-0.0224
"119",1967-06-21,0.0121,-0.245,0.3687,0.4209,0.1651,0.2949
"120",1967-06-22,0.0121,-0.2111,0.3533,-0.4149,-0.1083,0.0252
"121",1967-06-23,0.0121,0.0596,0.4288,0.3243,-0.0893,-0.3538
"122",1967-06-26,0.0121,-0.3873,-0.1721,0.1549,0.2028,0.1051
"123",1967-06-27,0.0121,-0.3339,0.4341,-0.0097,-0.1835,-0.2714
"124",1967-06-28,0.0121,0.0683,0.4053,-0.2583,-0.3175,-0.0064
"125",1967-06-29,0.0121,-0.4868,-0.0697,0.2526,0.0155,0.3582
"126",1967-06-30,0.0121,-0.1435,0.2747,0.1905,-0.5552,-0.1476
"127",1967-07-03,0.0157,0.3311,0.2661,-0.0693,0.1708,-0.0474
"128",1967-07-05,0.0157,0.5469,0.1926,-0.0812,0.6096,-0.3438
"129",1967-07-06,0.0157,-0.0506,0.0648,0.1366,0.1862,0.3856
"130",1967-07-07,0.0157,0.4719,0.1131,-0.438,0.0354,0.1517
"131",1967-07-10,0.0157,0.4552,0.2836,-0.224,0.3562,-0.1055
"132",1967-07-11,0.0157,0.4322,-0.0363,0.4454,0.0237,-0.181
"133",1967-07-12,0.0157,-0.0226,-0.0197,0.0812,-0.1078,0.12
"134",1967-07-13,0.0157,0.0696,0.2842,0.0902,0.0084,-0.0954
"135",1967-07-14,0.0157,0.3567,0.7379,-0.1576,-0.5169,-0.3416
"136",1967-07-17,0.0157,0.0675,0.4154,0.2189,-0.2531,-0.175
"137",1967-07-18,0.0157,0.6833,-0.1728,0.662,0.112,-0.2466
"138",1967-07-19,0.0157,0.0933,0.0616,0.6988,0.1345,0.6915
"139",1967-07-20,0.0157,0.1215,-0.0851,0.6669,-0.4226,-0.2745
"140",1967-07-21,0.0157,0.0396,-0.2621,0.8402,0.0284,0.2439
"141",1967-07-24,0.0157,-0.3677,-0.273,0.2174,-0.1086,0.221
"142",1967-07-25,0.0157,0.0166,0.3509,-0.5052,-0.6668,0.0236
"143",1967-07-26,0.0157,0.4287,0.2233,-0.2039,-0.0146,-0.132
"144",1967-07-27,0.0157,0.3497,0.0831,0.0521,0.3474,-0.0845
"145",1967-07-28,0.0157,0.1863,0.5418,-0.2477,-0.4526,0.032
"146",1967-07-31,0.0157,0.2886,0.0764,0.0647,-0.094,-0.0161
"147",1967-08-01,0.0141,0.6223,-0.2789,0.1225,-0.4378,-0.171
"148",1967-08-02,0.0141,0.3495,-0.568,0.1817,0.1162,-0.5628
"149",1967-08-03,0.0141,-0.1756,-0.0882,0.0229,0.1795,0.0219
"150",1967-08-04,0.0141,0.2532,0.3977,-0.3774,-0.2755,-0.1316
"151",1967-08-07,0.0141,-0.1779,0.1998,0.0108,-0.0134,0.0747
"152",1967-08-08,0.0141,0.0918,-0.1169,0.3,-0.1142,0.0788
"153",1967-08-09,0.0141,0.1126,-0.1295,0.2349,-0.1443,-0.1845
"154",1967-08-10,0.0141,-0.2753,0.0076,0.56,0.0442,0.2131
"155",1967-08-11,0.0141,-0.4813,-0.0923,0.3079,0.1569,0.1796
"156",1967-08-14,0.0141,-0.4884,-0.2034,0.4425,0.3665,-0.0252
"157",1967-08-15,0.0141,0.0991,0.0214,0.059,-0.2128,0.2164
"158",1967-08-16,0.0141,-0.2359,-0.0318,-0.2188,-0.2426,0.3553
"159",1967-08-17,0.0141,0.1209,0.1723,0.3688,-0.0085,-0.0756
"160",1967-08-18,0.0141,0.1507,0.3066,0.1841,-0.0399,0.1168
"161",1967-08-21,0.0141,-0.4904,0.1514,-0.0234,-0.1226,-0.168
"162",1967-08-22,0.0141,-0.5412,-0.0034,0.097,0.0433,0.0247
"163",1967-08-23,0.0141,-0.11,-0.1192,-0.4794,-0.1331,0.2563
"164",1967-08-24,0.0141,-0.5193,0.345,0.4724,0.0115,-0.0778
"165",1967-08-25,0.0141,-0.4147,-0.1923,-0.0882,0.1689,-0.0463
"166",1967-08-28,0.0141,0.0239,0.1923,0.1064,-0.0019,0.1901
"167",1967-08-29,0.0141,0.2399,-0.1297,0.0793,0.0014,-0.2018
"168",1967-08-30,0.0141,0.2697,0.3989,-0.4243,0.1305,0.0099
"169",1967-08-31,0.0141,0.6246,0.038,-0.108,-0.1498,-0.1159
"170",1967-09-01,0.0159,0.1511,0.4152,-0.3772,-0.244,0.2541
"171",1967-09-05,0.0159,0.5144,-0.1255,0.2209,0.1973,-0.1276
"172",1967-09-06,0.0159,0.1564,0.1525,0.0862,0.0389,0.084
"173",1967-09-07,0.0159,-0.0473,-0.0465,-0.0815,-0.1315,-0.0283
"174",1967-09-08,0.0159,0.0134,0.4029,0.1333,0.0244,-0.042
"175",1967-09-11,0.0159,0.1594,0.1001,-0.1077,0.2394,-0.186
"176",1967-09-12,0.0159,0.4795,-0.0836,-0.3533,-0.282,-0.5046
"177",1967-09-13,0.0159,0.962,-0.1241,0.1867,-0.1962,-0.1273
"178",1967-09-14,0.0159,0.15,0.1363,0.6129,0.2229,-0.0557
"179",1967-09-15,0.0159,0.068,0.0539,0.5839,0.1524,-0.2248
"180",1967-09-18,0.0159,0.2483,0.1544,0.2717,0.1869,-0.2057
"181",1967-09-19,0.0159,-0.4489,-0.2553,-0.0571,0.2304,0.2578
"182",1967-09-20,0.0159,0.0479,0.6691,0.087,-0.5012,0.1109
"183",1967-09-21,0.0159,0.5618,-0.3166,-0.7389,0.3084,0.1484
"184",1967-09-22,0.0159,0.2935,0.3085,0.0918,0.0095,0.1333
"185",1967-09-25,0.0159,0.4897,-0.552,-0.023,0.5123,-0.2069
"186",1967-09-26,0.0159,-0.85,0.1135,-0.1338,0.0561,0.4891
"187",1967-09-27,0.0159,0.0614,0.2373,-0.3317,-0.0622,-0.3712
"188",1967-09-28,0.0159,0.0743,0.1111,-0.264,0.3706,0.0205
"189",1967-09-29,0.0159,-0.0149,0.3824,-0.2139,-0.3883,-0.0127
"190",1967-10-02,0.0166,-0.3819,0.1097,-0.0181,-0.0177,0.0521
"191",1967-10-03,0.0166,0.313,0.1522,-0.0173,0.2572,-0.2018
"192",1967-10-04,0.0166,-0.1134,0.3609,-0.3487,0.0392,-0.1201
"193",1967-10-05,0.0166,0.2121,0.1099,-0.3558,0.2293,-0.1449
"194",1967-10-06,0.0166,0.5773,0.0539,-0.4181,0.1874,0.1821
"195",1967-10-09,0.0166,0.2018,0.3052,-0.196,-0.3473,0.2115
"196",1967-10-10,0.0166,-0.7271,0.0858,0.003,-0.3673,0.4844
"197",1967-10-11,0.0166,-0.4588,-0.0689,-0.0276,0.2839,-0.0359
"198",1967-10-12,0.0166,-0.6134,0.2872,0.0824,0.3737,-0.0998
"199",1967-10-13,0.0166,0.2163,0.3792,0.2391,0.3662,-0.088
"200",1967-10-16,0.0166,-0.8189,-0.2311,0.1238,0.1609,-0.0283
"201",1967-10-17,0.0166,-0.1922,0.247,-0.0358,0.2499,0.0613
"202",1967-10-18,0.0166,0.2249,-0.1947,-0.441,-0.1392,-0.4034
"203",1967-10-19,0.0166,0.0851,-0.3986,-0.2604,0.7788,0.0595
"204",1967-10-20,0.0166,-0.1236,-0.3686,0.1649,0.413,-0.1843
"205",1967-10-23,0.0166,-0.4843,-0.0322,-0.0784,0.1614,-0.1678
"206",1967-10-24,0.0166,-0.552,-0.1388,-0.1136,0.1613,0.3343
"207",1967-10-25,0.0166,0.1362,-0.1274,-0.1711,0.3633,-0.191
"208",1967-10-26,0.0166,0.4226,0.1709,-0.6534,0.299,-0.3256
"209",1967-10-27,0.0166,0.0185,-5e-04,-0.257,-0.0894,0.3618
"210",1967-10-30,0.0166,-0.1779,0.1817,0.1158,0.2501,0.0088
"211",1967-10-31,0.0166,-0.8951,-0.0424,0.1291,-0.1074,0.4079
"212",1967-11-01,0.0171,-1.1986,0.2688,-0.3959,-0.595,-0.0089
"213",1967-11-02,0.0171,-0.4774,-0.306,0.2453,-0.3127,0.0287
"214",1967-11-03,0.0171,-0.4732,0.5708,-0.2351,0.2708,-0.0307
"215",1967-11-06,0.0171,-0.2926,-0.0603,-0.3931,0.2017,-0.1179
"216",1967-11-08,0.0171,-0.3463,0.1068,0.2381,0.3056,0.0849
"217",1967-11-09,0.0171,0.406,-0.4811,-0.0356,0.1607,0.0263
"218",1967-11-10,0.0171,0.5849,-0.2263,0.4014,0.2813,0.3878
"219",1967-11-13,0.0171,-0.2967,-0.5972,-0.2521,-0.813,0.0564
"220",1967-11-14,0.0171,-0.7323,-0.6523,0.2476,-0.5797,0.3076
"221",1967-11-15,0.0171,0.4016,-0.5263,-0.1532,0.4618,-0.1528
"222",1967-11-16,0.0171,0.9437,0.2804,-0.7549,0.6716,-0.096
"223",1967-11-17,0.0171,0.3442,0.3577,-0.681,0.1102,-0.117
"224",1967-11-20,0.0171,-1.3662,-0.6332,0.0641,-0.3121,0.0751
"225",1967-11-21,0.0171,1.6856,0.7672,-1.0275,0.4226,-0.2788
"226",1967-11-22,0.0171,0.6413,0.3692,0.1817,0.3253,-0.1279
"227",1967-11-24,0.0171,0.2447,-0.0706,-0.1422,-0.0476,0.0771
"228",1967-11-27,0.0171,0.338,0.1521,-0.3279,0.3252,0.2147
"229",1967-11-28,0.0171,0.4857,0.0643,0.0729,-0.2653,-0.277
"230",1967-11-29,0.0171,0.0632,0.5913,0.1498,0.084,-0.1128
"231",1967-11-30,0.0171,-0.4532,0.1881,0.0845,0.1654,0.264
"232",1967-12-01,0.0178,0.5232,0.4042,0.0735,0.3513,0.1813
"233",1967-12-04,0.0178,0.6404,0.6658,-0.1177,0.8664,0.3924
"234",1967-12-05,0.0178,0.0997,-0.4409,0.277,0.168,0.1757
"235",1967-12-06,0.0178,0.3551,-0.1553,-0.3996,0.3272,0.159
